Total,Has a computer,Has a computer With dial-up Internet subscription alone,Has a computer With a broadband Internet subscription,Has a computer Without an Internet subscription,Total No computer,id,Geographic Area Name
287001,269348,331,249065,19952,17653,13089,"DeKalb County, Georgia"
33717,29913,0,25381,4532,3804,13095,"Dougherty County, Georgia"
49534,48036,209,42413,5414,1498,13097,"Douglas County, Georgia"
39366,36968,142,35405,1421,2398,13113,"Fayette County, Georgia"
34672,29331,0,26306,3025,5341,13115,"Floyd County, Georgia"
81353,79380,95,77709,1576,1973,13117,"Forsyth County, Georgia"
417157,392237,467,369239,22531,24920,13121,"Fulton County, Georgia"
34634,31445,47,28359,3039,3189,13127,"Glynn County, Georgia"
297658,285143,64,266630,18449,12515,13135,"Gwinnett County, Georgia"
64990,60554,122,56688,3744,4436,13139,"Hall County, Georgia"
75926,73627,120,64789,8718,2299,13151,"Henry County, Georgia"
58155,54954,45,50905,4004,3201,13153,"Houston County, Georgia"
23640,22022,0,21112,910,1618,13157,"Jackson County, Georgia"
41734,32910,93,22598,10219,8824,13185,"Lowndes County, Georgia"
72862,65456,149,58876,6431,7406,13215,"Muscogee County, Georgia"
38436,37405,100,35545,1760,1031,13217,"Newton County, Georgia"
53630,51104,0,48198,2906,2526,13223,"Paulding County, Georgia"
70534,62122,292,53401,8429,8412,13245,"Richmond County, Georgia"
31460,30252,392,26787,3073,1208,13247,"Rockdale County, Georgia"
25659,22671,0,17121,5550,2988,13255,"Spalding County, Georgia"
25417,22573,61,18967,3545,2844,13285,"Troup County, Georgia"
26895,23224,23,21280,1921,3671,13295,"Walker County, Georgia"
32624,29843,70,28616,1157,2781,13297,"Walton County, Georgia"
36658,31640,0,30006,1634,5018,13313,"Whitfield County, Georgia"
71565,61539,125,53346,8068,10026,15001,"Hawaii County, Hawaii"
308208,286338,383,269233,16722,21870,15003,"Honolulu County, Hawaii"
22685,20378,80,19852,446,2307,15007,"Kauai County, Hawaii"
52794,48777,248,44019,4510,4017,15009,"Maui County, Hawaii"
178712,172131,640,159970,11521,6581,16001,"Ada County, Idaho"
30635,28781,114,26718,1949,1854,16005,"Bannock County, Idaho"
40224,38175,112,36291,1772,2049,16019,"Bonneville County, Idaho"
74520,70667,143,65528,4996,3853,16027,"Canyon County, Idaho"
64955,59065,159,54683,4223,5890,16055,"Kootenai County, Idaho"
32041,29162,137,26909,2116,2879,16083,"Twin Falls County, Idaho"
26397,23013,18,21452,1543,3384,17001,"Adams County, Illinois"
84290,78733,268,70421,8044,5557,17019,"Champaign County, Illinois"
1981796,1807902,4147,1652270,151485,173894,17031,"Cook County, Illinois"
38849,37110,124,34821,2165,1739,17037,"DeKalb County, Illinois"
345714,328790,536,316315,11939,16924,17043,"DuPage County, Illinois"
183633,172564,523,161931,10110,11069,17089,"Kane County, Illinois"
40642,36080,55,31661,4364,4562,17091,"Kankakee County, Illinois"
40716,39158,23,37045,2090,1558,17093,"Kendall County, Illinois"
246620,234195,772,223259,10164,12425,17097,"Lake County, Illinois"
44714,40209,155,36943,3111,4505,17099,"LaSalle County, Illinois"
114544,109953,332,106618,3003,4591,17111,"McHenry County, Illinois"
65998,62986,169,55721,7096,3012,17113,"McLean County, Illinois"
44562,39157,26,35846,3285,5405,17115,"Macon County, Illinois"
108977,99224,202,92916,6106,9753,17119,"Madison County, Illinois"
71506,64925,190,58415,6320,6581,17143,"Peoria County, Illinois"
61009,55189,178,50928,4083,5820,17161,"Rock Island County, Illinois"
104803,95493,576,80071,14846,9310,17163,"St. Clair County, Illinois"
83006,76429,305,66306,9818,6577,17167,"Sangamon County, Illinois"
54123,48285,133,45120,3032,5838,17179,"Tazewell County, Illinois"
30166,24786,96,22663,2027,5380,17183,"Vermilion County, Illinois"
231647,220388,444,207241,12703,11259,17197,"Will County, Illinois"
27815,22809,85,20978,1746,5006,17199,"Williamson County, Illinois"
114337,104242,67,98615,5560,10095,17201,"Winnebago County, Illinois"
147638,135591,231,125511,9849,12047,18003,"Allen County, Indiana"
31891,27993,0,26498,1495,3898,18005,"Bartholomew County, Indiana"
24808,23528,147,23030,351,1280,18011,"Boone County, Indiana"
45905,42569,36,35091,7442,3336,18019,"Clark County, Indiana"
45311,40470,119,35226,5125,4841,18035,"Delaware County, Indiana"
73660,66826,164,61914,4748,6834,18039,"Elkhart County, Indiana"
30300,28457,65,24656,3736,1843,18043,"Floyd County, Indiana"
26923,23694,59,20219,3416,3229,18053,"Grant County, Indiana"
122876,119943,72,115410,4461,2933,18057,"Hamilton County, Indiana"
29605,27986,114,24176,3696,1619,18059,"Hancock County, Indiana"
60368,58917,85,54523,4309,1451,18063,"Hendricks County, Indiana"
35139,32794,0,27689,5105,2345,18067,"Howard County, Indiana"
