"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"440956","*****","0500000US22033","East Baton Rouge Parish, Louisiana"
"70941","*****","0500000US22045","Iberia Parish, Louisiana"
"434051","*****","0500000US22051","Jefferson Parish, Louisiana"
"242782","*****","0500000US22055","Lafayette Parish, Louisiana"
"98115","*****","0500000US22057","Lafourche Parish, Louisiana"
"139567","*****","0500000US22063","Livingston Parish, Louisiana"
"391006","*****","0500000US22071","Orleans Parish, Louisiana"
"154475","*****","0500000US22073","Ouachita Parish, Louisiana"
"130562","*****","0500000US22079","Rapides Parish, Louisiana"
"82764","*****","0500000US22097","St. Landry Parish, Louisiana"
"258111","*****","0500000US22103","St. Tammany Parish, Louisiana"
"133777","*****","0500000US22105","Tangipahoa Parish, Louisiana"
"111021","*****","0500000US22109","Terrebonne Parish, Louisiana"
"107679","*****","0500000US23001","Androscoggin County, Maine"
"67111","*****","0500000US23003","Aroostook County, Maine"
"293557","*****","0500000US23005","Cumberland County, Maine"
"122083","*****","0500000US23011","Kennebec County, Maine"
"151096","*****","0500000US23019","Penobscot County, Maine"
"206229","*****","0500000US23031","York County, Maine"
"70975","*****","0500000US24001","Allegany County, Maryland"
"576031","*****","0500000US24003","Anne Arundel County, Maryland"
"828431","*****","0500000US24005","Baltimore County, Maryland"
"92003","*****","0500000US24009","Calvert County, Maryland"
"168429","*****","0500000US24013","Carroll County, Maryland"
"102826","*****","0500000US24015","Cecil County, Maryland"
"161503","*****","0500000US24017","Charles County, Maryland"
"255648","*****","0500000US24021","Frederick County, Maryland"
"253956","*****","0500000US24025","Harford County, Maryland"
"323196","*****","0500000US24027","Howard County, Maryland"
"1052567","*****","0500000US24031","Montgomery County, Maryland"
"909308","*****","0500000US24033","Prince George's County, Maryland"
"112664","*****","0500000US24037","St. Mary's County, Maryland"
"150926","*****","0500000US24043","Washington County, Maryland"
"103195","*****","0500000US24045","Wicomico County, Maryland"
"602495","*****","0500000US24510","Baltimore city, Maryland"
"213413","*****","0500000US25001","Barnstable County, Massachusetts"
"126348","*****","0500000US25003","Berkshire County, Massachusetts"
"564022","*****","0500000US25005","Bristol County, Massachusetts"
"790638","*****","0500000US25009","Essex County, Massachusetts"
"70963","*****","0500000US25011","Franklin County, Massachusetts"
"470406","*****","0500000US25013","Hampden County, Massachusetts"
"161355","*****","0500000US25015","Hampshire County, Massachusetts"
"1614714","*****","0500000US25017","Middlesex County, Massachusetts"
