id,dialup,broadband,no_internet,i_under_050,i_050_074,i_075_099,i_100_124,i_125_149,i_150_174,i_175_184,i_185_199,i_200_299,i_300_399,i_400_499,i_500_over
17037,124,34821,2165,811,488,278,614,462,938,188,451,3091,3334,2713,7930
17043,536,316315,11939,5854,1540,3628,4766,3919,4526,1724,3785,23944,26312,29189,135048
17089,523,161931,10110,2594,2777,3365,4014,5429,4202,2364,1844,18384,18561,17158,55904
17091,55,31661,4364,1409,677,1009,1508,775,926,431,473,4185,4283,3248,7710
17093,23,37045,2090,265,58,369,227,6,1006,543,878,3928,7046,4603,13433
17097,772,223259,10164,4106,3845,1746,6051,4716,5580,1480,2443,18813,20738,17995,91389
17099,155,36943,3111,1083,1205,1598,670,859,1036,808,269,4650,4793,3077,8756
17111,332,106618,3003,2094,910,639,1542,802,2657,998,1170,10548,12815,13683,39508
17113,169,55721,7096,1301,733,745,815,865,1011,368,434,4784,5202,6284,17107
17115,26,35846,3285,1723,629,1102,718,978,643,398,866,4670,4516,3228,8290
17119,202,92916,6106,2416,2182,2103,2271,2692,1758,809,745,11606,11024,11159,23926
17143,190,58415,6320,2071,1489,996,1670,1287,1284,313,678,6642,6708,5618,14054
17161,178,50928,4083,1350,1229,1371,1446,1374,1778,378,1571,5943,5223,4342,11653
17163,576,80071,14846,2020,1654,2568,1714,2350,1155,725,1801,8603,8877,8881,22507
17167,305,66306,9818,2314,1392,1233,1688,1921,914,745,1014,6884,6443,5463,20255
17179,133,45120,3032,968,917,477,1081,1733,982,467,693,5517,6371,5523,11480
17183,96,22663,2027,1621,435,789,1180,483,528,154,909,3366,3133,2108,4150
17197,444,207241,12703,3254,2987,1708,4232,4694,4383,1205,2457,23663,23172,21654,81885
17199,85,20978,1746,342,484,710,1318,704,629,595,396,3561,2061,1966,3985
17201,67,98615,5560,3161,2801,2995,3989,2261,3292,788,1266,12934,11501,8586,20940
18003,231,125511,9849,3807,2524,3456,4715,3328,3097,2156,2181,17483,14872,11529,27122
18005,0,26498,1495,1026,238,309,448,526,589,841,279,3375,3313,3840,5701
18011,147,23030,351,113,400,321,321,203,509,123,164,2841,3292,2095,9320
18019,36,35091,7442,817,827,980,620,828,977,600,469,5920,4590,4290,9626
18035,119,35226,5125,1371,493,1894,1085,1516,842,535,627,4215,4103,4191,5441
18039,164,61914,4748,2211,1102,1770,2094,1876,2653,1060,1373,11502,9016,6910,12240
18043,65,24656,3736,371,458,378,352,559,129,362,381,2944,3282,2809,7682
18053,59,20219,3416,902,1140,718,426,412,643,747,338,3970,3187,1484,3541
18057,72,115410,4461,941,862,792,1766,1684,2789,618,380,8781,11938,13073,49746
18059,114,24176,3696,399,108,57,671,358,789,0,661,3388,3734,3282,6979
18063,85,54523,4309,627,737,783,277,232,1079,122,969,7603,6967,8585,17521
18067,0,27689,5105,749,822,802,484,655,1224,421,619,3364,4296,3019,7034
18081,96,51760,2868,980,397,459,960,1050,803,477,868,6262,7611,7192,14099
18085,149,24992,3396,354,157,619,779,400,684,207,438,4727,3148,2321,6341
18089,334,153757,11873,6830,3720,4571,4490,6241,4271,1884,1674,18685,18114,16113,35407
18091,110,35007,4657,1419,899,1054,978,1014,1075,297,431,5981,4325,3029,7156
18095,118,40288,4358,1809,1545,1131,1378,983,1051,459,574,6275,5533,4010,7333
18097,321,299158,33294,12506,5788,7285,9786,8869,9919,5524,6091,33273,28555,24890,53831
18105,0,50066,3907,1626,935,548,779,1460,923,494,1045,4717,4108,4092,9493
18109,121,22078,1283,849,484,428,54,316,667,527,440,3118,4395,2274,6090
18127,143,56610,4029,1766,718,968,1287,379,1182,528,952,6840,5760,5607,17387
18141,475,85889,11201,2585,1850,1700,2238,2929,2197,1116,1232,11273,10537,8736,19377
18157,56,60720,6706,1180,673,1241,1046,2337,1862,1017,1052,6924,5467,4655,11811
18163,137,61967,5626,1535,1205,1596,2306,1591,2341,1156,709,6775,6312,5411,12568
18167,30,37725,3279,1288,533,1092,1049,1021,1206,469,804,4055,4118,3279,5938
18177,107,21645,3287,725,1292,278,598,1011,619,511,497,4626,2952,1259,3920
19013,173,44592,3416,1448,1025,1111,876,1454,1239,410,960,4493,5581,3704,10100
19049,0,32164,2002,157,667,337,517,184,505,175,52,2857,2966,3003,12700
19061,152,31657,2345,472,475,693,525,1129,1086,145,555,3547,4247,3852,7655
19103,43,54824,4032,1650,648,544,1742,283,740,151,710,2937,4046,4601,15515
19113,341,79565,4828,1211,925,1080,984,1725,1223,510,1635,7370,8724,6866,22432
19153,428,164401,12978,3022,2196,1939,3950,4180,3062,1436,2966,15612,17439,15031,48639
19155,12,29047,3635,905,742,565,802,1067,1192,369,682,3139,4293,2806,6715
19163,88,57177,3653,1731,1034,1146,856,785,1416,355,474,7365,6492,4508,15078
19169,143,28916,6656,452,869,253,263,226,391,349,389,2727,2933,2733,7744
19193,124,32408,2751,708,577,1271,1508,910,1255,714,245,4320,3689,3536,7718
20015,46,21124,1289,433,428,256,512,438,1307,160,279,2743,4257,2197,5328
20045,210,43203,3534,456,1195,524,427,267,820,346,478,4399,4109,3362,9972
20091,489,214295,8081,2481,1428,1945,2703,2576,3289,841,1952,16718,20940,18835,82491
20103,0,22716,1728,447,502,1031,361,347,412,601,281,2621,2246,2578,7410
20161,0,23679,2284,555,228,263,981,463,354,26,602,2002,1411,1428,4706
20173,545,167272,16196,4802,3153,3547,5386,4979,5100,2768,4243,20477,17622,14774,36901
20177,284,51553,13133,762,1933,1624,1547,1483,1539,1032,742,7779,7007,5105,13792
20209,105,48943,6253,1777,778,2489,2829,2600,1786,964,852,7298,6538,3939,6785
21015,208,43198,2630,538,263,0,1191,889,941,802,253,4597,5178,5137,14694
21029,98,25236,2346,720,530,635,1253,404,669,573,372,3138,5074,2134,6218
21037,1040,29348,3161,1330,571,603,603,536,751,334,454,2412,4090,2994,8325
21047,121,20888,2142,771,1095,558,1156,1419,1388,589,771,3254,1847,2175,3115
21059,72,33457,1953,1098,1572,1049,834,1545,1159,490,442,5581,3531,3434,6439
21067,177,118325,7006,3048,2212,1630,2041,2380,3839,1586,1464,11101,10926,8011,27587
21093,81,31254,6348,1527,689,1197,1100,1922,1197,603,1544,5163,3683,2806,8246
21111,538,266088,14764,10455,4745,6333,6623,6790,5236,3975,4470,27033,27546,19396,63943
21117,180,57573,2262,892,917,619,1322,1573,1410,477,374,5823,7421,5192,14065
21145,0,23527,1793,1151,324,716,475,496,453,865,600,2741,2634,2013,4431
21151,290,28027,2133,1602,450,647,1100,814,1166,203,562,3738,3409,2702,6018
21185,96,19826,570,241,637,116,172,197,349,163,174,1690,2162,1977,9690
21227,0,42110,3413,1069,1452,1617,831,1606,1283,476,312,5422,4777,3406,8246
22005,140,40028,1810,1942,452,594,437,1552,1213,1088,241,3762,4414,4313,14949
22015,66,29813,15279,984,1764,1029,1589,1767,731,647,269,5396,3793,2766,11186
22017,205,62586,19786,2369,3213,3404,4147,2582,3180,879,1802,9420,6532,6996,13380
22019,61,60157,8062,2260,1184,2288,2320,2617,3214,682,1427,8686,6203,5416,13786
22033,216,139436,10298,3693,3249,3315,4783,4287,3908,1357,2079,13583,10926,9110,34864
22045,0,19844,1823,1760,757,786,766,328,778,467,831,2280,2313,1834,3965
22051,262,134213,14283,5170,2547,4534,5043,5044,4963,2515,2687,16969,14397,10317,31315
22055,79,81857,5714,2855,1883,1568,2752,2083,3346,694,1141,8778,8884,7543,17554
22057,0,28116,3119,1206,893,383,790,1347,1165,393,732,3604,3247,2605,6983
22063,63,42530,3998,705,350,916,1516,1357,1885,369,1650,5962,4784,4060,12397
22071,100,119773,16419,4351,3451,3418,3640,3925,3641,888,1214,9063,6728,5418,22366
22073,398,41170,4534,2717,1236,1621,2123,1145,1406,509,1074,4721,3847,3634,10457
22079,168,40165,3475,2300,794,1529,1297,1350,1681,210,881,5896,4760,3085,8968
22097,118,16542,5538,3048,1600,1240,686,1106,540,159,497,3817,2850,1446,3029
22103,193,80805,6268,2513,1528,2386,2716,2592,2177,1102,1811,8647,7770,8155,26525
22105,68,38389,3104,1495,1008,632,2524,1673,1263,391,465,5273,5286,3357,6238
22109,79,31279,1998,1359,324,1824,943,1193,574,407,1334,5431,4183,2438,6501
23001,117,37408,3333,686,603,1385,1246,927,639,838,606,4716,3990,3457,7440
23003,556,20419,3884,842,685,259,1079,869,1182,405,474,3270,3184,2147,3207
23005,298,109537,4968,1244,697,682,858,896,2015,1107,1640,9057,9220,9762,34964
23011,312,44166,3835,1077,711,348,977,1424,1202,767,492,6176,4875,3517,9539
23019,473,51076,4099,1418,1343,1004,825,1208,1829,518,1055,7038,6468,5132,8950
23031,598,75782,4891,831,551,1234,948,1213,1511,1124,1093,7559,7672,7500,23196
24001,82,21139,1592,766,490,687,1156,632,726,438,346,3424,2531,1945,3478
24003,85,195307,6242,3746,1592,2081,1661,2433,2169,1010,1793,15594,15424,16849,81274
24005,459,274596,15512,4314,4578,4183,4502,4904,5322,1239,2345,26356,26722,24353,94967
24009,0,28535,1470,261,203,65,697,0,590,44,78,1585,2879,2880,14985
24013,142,52913,1930,1151,619,622,648,667,425,217,671,4076,5349,5073,26687
24015,54,30166,2418,542,310,209,1026,957,399,317,396,3292,3818,3883,10418
24017,150,49735,2508,1464,743,0,567,951,898,413,819,4558,5381,5732,19957
24021,85,86364,3698,1249,1007,677,1286,1112,1277,720,639,7869,6100,6966,38018
24025,401,84378,3615,2140,670,783,1087,1046,1815,989,831,6719,7224,9545,34925
24027,251,110161,3121,1762,788,589,1205,1184,1843,1082,228,5877,6633,8099,56853
24031,715,340267,14652,4327,2756,4275,5148,5982,5255,2146,3673,22443,23535,20985,156766
