Total,One or more types of computing devices,Desktop/laptop,Only Desktop/laptop,Smartphone,Only Smartphone,Tablet/portable,Only Tablet/portable,Other computing device,Only other,No computer,id,Geographic Area Name
30798,28537,23308,1715,25641,2562,20164,304,505,0,2261,18085,"Kosciusko County, Indiana"
186769,165964,131048,9123,151954,21627,108776,2072,4078,0,20805,18089,"Lake County, Indiana"
43122,39774,31576,2683,35297,5301,24166,170,821,0,3348,18091,"LaPorte County, Indiana"
50426,44764,34817,2256,40954,6032,28293,529,728,0,5662,18095,"Madison County, Indiana"
373634,332773,269755,15174,308405,41981,199925,2837,5705,175,40861,18097,"Marion County, Indiana"
57102,53973,48841,1800,50386,2633,37402,637,859,0,3129,18105,"Monroe County, Indiana"
25968,23482,19334,1275,21024,1495,16887,313,262,0,2486,18109,"Morgan County, Indiana"
66144,60782,52843,2895,56175,4858,39972,315,959,0,5362,18127,"Porter County, Indiana"
107730,97565,80442,5280,88498,11620,63328,1403,2118,36,10165,18141,"St. Joseph County, Indiana"
70446,67482,55108,2581,63728,7445,44926,191,1165,0,2964,18157,"Tippecanoe County, Indiana"
75058,67730,53018,3035,61424,9397,43982,970,1425,0,7328,18163,"Vanderburgh County, Indiana"
43262,41034,32699,2792,36424,4384,27328,620,754,43,2228,18167,"Vigo County, Indiana"
28338,25039,19429,1989,22105,3341,15535,247,505,24,3299,18177,"Wayne County, Indiana"
53386,48181,40238,2242,44320,5115,32880,375,1046,0,5205,19013,"Black Hawk County, Iowa"
35492,34166,30357,821,32489,2564,25201,220,516,0,1326,19049,"Dallas County, Iowa"
38501,34154,26962,1901,30210,4962,22464,423,749,0,4347,19061,"Dubuque County, Iowa"
60868,58899,53504,1280,54790,3224,43749,878,1395,0,1969,19103,"Johnson County, Iowa"
91747,84734,74052,2941,78181,5335,60405,1082,2657,0,7013,19113,"Linn County, Iowa"
189546,177807,150489,6632,164270,14350,126727,2497,2969,0,11739,19153,"Polk County, Iowa"
36635,32694,27407,2459,28550,3365,21709,294,974,0,3941,19155,"Pottawattamie County, Iowa"
66905,60918,51279,2207,56984,6169,41014,749,890,0,5987,19163,"Scott County, Iowa"
37290,35715,31810,1438,33699,2677,23748,176,662,0,1575,19169,"Story County, Iowa"
39253,35283,27993,1944,31624,4012,24621,274,838,0,3970,19193,"Woodbury County, Iowa"
24692,22459,20112,1179,20390,1339,17086,190,769,20,2233,20015,"Butler County, Kansas"
48907,46947,41475,1786,43734,2431,34104,368,1331,0,1960,20045,"Douglas County, Kansas"
231184,222865,205545,7325,210692,8413,173596,1186,6778,0,8319,20091,"Johnson County, Kansas"
