Total,One or more types of computing devices,Desktop/laptop,Only Desktop/laptop,Smartphone,Only Smartphone,Tablet/portable,Only Tablet/portable,Other computing device,Only other,No computer,>10K,> $10k With Internet subscription ,> $10k!!Without an Internet subscription,Total!!$10k to $19.9k,$10k to $19.9k!!With Internet subscription ,$10k to  $19.9k!!Without an Internet subscription,"$20,000 to $34,999",$20k to $34.9k!!With Internet subscription,$20k to $34.9k!!Without an Internet subscription,"$35,000 to $49,999",$35k to $49.9k!!With Internet subscription,$35k to $49.9k!!Without an Internet subscription,$50k to $74.9k,"$50k to $74,999!!With Internet subscription",$50k to $74..9k!!Without an Internet subscription,>$75k ,>$75k!!With Internet subscription ,">$75,000!!Without an Internet subscription",id,Geographic Area Name
3313908,3094720,2659755,99419,2933995,282567,2065080,18124,110202,662,219188,198451,130382,68069,282223,175665,106558,399656,308872,90784,370725,315148,55577,537381,483432,53949,1525472,1454293,71179,6037,"Los Angeles County, California"
44484,40738,31689,2165,37465,5342,26010,368,1166,0,3746,2315,1337,978,4478,3420,1058,5595,4632,963,7284,6662,622,9685,8459,1226,15127,14438,689,6039,"Madera County, California"
104954,101622,96467,4662,94535,2258,78012,733,3421,0,3332,3381,3224,157,4936,3480,1456,5875,4840,1035,7027,6380,647,11540,10605,935,72195,70365,1830,6041,"Marin County, California"
33794,30311,25288,2502,26386,2738,17844,365,453,0,3483,1447,1027,420,4963,3912,1051,4817,3756,1061,5014,4150,864,7239,6311,928,10314,9668,646,6045,"Mendocino County, California"
79487,73109,54396,2531,69282,12223,45679,274,2663,0,6378,5086,3999,1087,7877,5435,2442,12401,10315,2086,9899,8608,1291,14350,13666,684,29874,27894,1980,6047,"Merced County, California"
126299,118675,92757,4293,111411,21468,60896,345,2496,35,7624,4412,3548,864,8180,5594,2586,15518,12098,3420,14379,12107,2272,24000,20653,3347,59810,56498,3312,6053,"Monterey County, California"
47315,44730,40103,2256,40794,2238,31541,373,1381,0,2585,1543,1185,358,2374,1897,477,5177,3873,1304,3974,3461,513,7511,6917,594,26736,26155,581,6055,"Napa County, California"
41447,38969,35502,2623,34330,1623,28040,350,1561,0,2478,1920,1374,546,4201,2574,1627,5031,4141,890,5229,4934,295,5939,5451,488,19127,18118,1009,6057,"Nevada County, California"
1040394,1000857,909008,28913,948574,52025,754819,5839,35868,45,39537,47197,37682,9515,54746,39881,14865,93970,76935,17035,91982,83349,8633,152435,141033,11402,600064,580825,19239,6059,"Orange County, California"
144691,138946,130081,5815,130357,4341,108607,612,6143,0,5745,5754,3943,1811,7995,5253,2742,16466,12645,3821,12360,10847,1513,20294,19109,1185,81822,79549,2273,6061,"Placer County, California"
728103,687688,587572,27005,642717,57903,493675,5561,19979,255,40415,42146,32563,9583,57285,42439,14846,96928,77169,19759,82796,74006,8790,124204,113048,11156,324744,309437,15307,6065,"Riverside County, California"
543560,518300,458995,17987,487567,36421,374655,3158,27046,151,25260,28891,22069,6822,44645,32238,12407,62840,50985,11855,62056,56387,5669,92332,87283,5049,252796,244048,8748,6067,"Sacramento County, California"
638647,604937,497069,19851,569660,63675,422422,5233,15117,144,33710,33089,22407,10682,55286,35425,19861,84385,64268,20117,74761,62684,12077,117125,103942,13183,274001,261186,12815,6071,"San Bernardino County, California"
1130911,1086855,973980,32473,1028940,63685,788461,7889,31556,142,44056,48592,39605,8987,72645,52135,20510,119013,100852,18161,119170,107956,11214,181317,170297,11020,590174,573302,16872,6073,"San Diego County, California"
362827,340536,311468,9572,324767,20248,250112,2122,21583,104,22291,19249,12355,6894,25750,14202,11548,29312,21928,7384,23032,19352,3680,36650,33268,3382,228834,222722,6112,6075,"San Francisco County, California"
