"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"39366","1116","36968","1255","142","173","35405","1428","1421","599","2398","796","0500000US13113","Fayette County, Georgia"
"34672","1416","29331","1841","0","226","26306","1845","3025","1024","5341","1149","0500000US13115","Floyd County, Georgia"
"81353","873","79380","1061","95","118","77709","1188","1576","635","1973","619","0500000US13117","Forsyth County, Georgia"
"417157","5974","392237","6705","467","289","369239","6067","22531","3101","24920","2681","0500000US13121","Fulton County, Georgia"
"34634","1563","31445","1564","47","88","28359","1586","3039","1102","3189","902","0500000US13127","Glynn County, Georgia"
"297658","2747","285143","3607","64","112","266630","4485","18449","2564","12515","2269","0500000US13135","Gwinnett County, Georgia"
"64990","1594","60554","1995","122","149","56688","2049","3744","1021","4436","1304","0500000US13139","Hall County, Georgia"
"75926","1908","73627","1998","120","149","64789","2457","8718","1698","2299","886","0500000US13151","Henry County, Georgia"
"58155","1653","54954","1911","45","75","50905","2301","4004","1391","3201","1266","0500000US13153","Houston County, Georgia"
"23640","877","22022","1147","0","226","21112","1237","910","464","1618","738","0500000US13157","Jackson County, Georgia"
"41734","1535","32910","1886","93","120","22598","1961","10219","1757","8824","1643","0500000US13185","Lowndes County, Georgia"
"72862","2063","65456","2129","149","142","58876","2360","6431","1323","7406","1148","0500000US13215","Muscogee County, Georgia"
"38436","794","37405","907","100","173","35545","1218","1760","704","1031","412","0500000US13217","Newton County, Georgia"
"53630","1664","51104","1777","0","226","48198","2301","2906","1103","2526","952","0500000US13223","Paulding County, Georgia"
"70534","2579","62122","2724","292","292","53401","3128","8429","1658","8412","1659","0500000US13245","Richmond County, Georgia"
"31460","985","30252","1247","392","376","26787","1558","3073","996","1208","583","0500000US13247","Rockdale County, Georgia"
"25659","1135","22671","1344","0","226","17121","1510","5550","1341","2988","968","0500000US13255","Spalding County, Georgia"
"25417","1114","22573","1325","61","99","18967","1574","3545","1048","2844","777","0500000US13285","Troup County, Georgia"
"26895","1290","23224","1733","23","38","21280","1711","1921","744","3671","1196","0500000US13295","Walker County, Georgia"
"32624","792","29843","1415","70","68","28616","1462","1157","400","2781","1224","0500000US13297","Walton County, Georgia"
"36658","1376","31640","1596","0","226","30006","1710","1634","785","5018","1176","0500000US13313","Whitfield County, Georgia"
"71565","2191","61539","2370","125","145","53346","2521","8068","1603","10026","1694","0500000US15001","Hawaii County, Hawaii"
"308208","3354","286338","3798","383","230","269233","3848","16722","1962","21870","2050","0500000US15003","Honolulu County, Hawaii"
"22685","1210","20378","1195","80","111","19852","1173","446","273","2307","589","0500000US15007","Kauai County, Hawaii"
"52794","1950","48777","2028","248","222","44019","2198","4510","879","4017","1106","0500000US15009","Maui County, Hawaii"
"178712","2497","172131","2728","640","357","159970","2925","11521","2132","6581","1394","0500000US16001","Ada County, Idaho"
"30635","1217","28781","1275","114","141","26718","1317","1949","639","1854","549","0500000US16005","Bannock County, Idaho"
"40224","1153","38175","1182","112","109","36291","1197","1772","512","2049","632","0500000US16019","Bonneville County, Idaho"
"74520","1350","70667","1719","143","138","65528","1949","4996","1252","3853","828","0500000US16027","Canyon County, Idaho"
"64955","1328","59065","1833","159","175","54683","1831","4223","901","5890","1234","0500000US16055","Kootenai County, Idaho"
"32041","930","29162","1364","137","246","26909","1663","2116","934","2879","1038","0500000US16083","Twin Falls County, Idaho"
"26397","972","23013","1123","18","30","21452","1115","1543","517","3384","837","0500000US17001","Adams County, Illinois"
"84290","2237","78733","2535","268","199","70421","2528","8044","1318","5557","1217","0500000US17019","Champaign County, Illinois"
"1981796","8626","1807902","10582","4147","1026","1652270","10766","151485","7546","173894","6462","0500000US17031","Cook County, Illinois"
"38849","1227","37110","1331","124","145","34821","1528","2165","814","1739","499","0500000US17037","DeKalb County, Illinois"
"345714","2259","328790","2679","536","243","316315","3227","11939","1864","16924","1899","0500000US17043","DuPage County, Illinois"
"183633","1334","172564","1988","523","411","161931","2435","10110","1894","11069","1532","0500000US17089","Kane County, Illinois"
"40642","1411","36080","1470","55","91","31661","1611","4364","978","4562","927","0500000US17091","Kankakee County, Illinois"
"40716","1134","39158","1295","23","29","37045","1660","2090","993","1558","839","0500000US17093","Kendall County, Illinois"
"246620","2599","234195","2959","772","406","223259","3075","10164","1588","12425","1559","0500000US17097","Lake County, Illinois"
"44714","1263","40209","1452","155","156","36943","1521","3111","850","4505","927","0500000US17099","LaSalle County, Illinois"
"114544","1268","109953","1460","332","251","106618","1591","3003","962","4591","936","0500000US17111","McHenry County, Illinois"
"65998","1534","62986","1642","169","165","55721","1891","7096","1501","3012","802","0500000US17113","McLean County, Illinois"
"44562","1294","39157","1516","26","30","35846","1533","3285","797","5405","943","0500000US17115","Macon County, Illinois"
"108977","2233","99224","2515","202","194","92916","2809","6106","1326","9753","1629","0500000US17119","Madison County, Illinois"
"71506","1717","64925","2017","190","155","58415","2181","6320","1351","6581","1156","0500000US17143","Peoria County, Illinois"
"61009","1278","55189","1550","178","172","50928","1736","4083","1150","5820","1173","0500000US17161","Rock Island County, Illinois"
"104803","2310","95493","2868","576","411","80071","3002","14846","2477","9310","1630","0500000US17163","St. Clair County, Illinois"
"83006","1728","76429","1996","305","227","66306","2471","9818","1720","6577","1037","0500000US17167","Sangamon County, Illinois"
"54123","1441","48285","1937","133","133","45120","1875","3032","806","5838","1230","0500000US17179","Tazewell County, Illinois"
"30166","1113","24786","1381","96","108","22663","1420","2027","570","5380","892","0500000US17183","Vermilion County, Illinois"
"231647","2201","220388","2673","444","355","207241","3030","12703","1776","11259","1619","0500000US17197","Will County, Illinois"
"27815","1041","22809","1672","85","105","20978","1661","1746","574","5006","1309","0500000US17199","Williamson County, Illinois"
"114337","1684","104242","1967","67","80","98615","2193","5560","1185","10095","1317","0500000US17201","Winnebago County, Illinois"
"147638","1587","135591","2027","231","154","125511","2484","9849","1384","12047","1572","0500000US18003","Allen County, Indiana"
"31891","1053","27993","1442","0","198","26498","1477","1495","610","3898","1055","0500000US18005","Bartholomew County, Indiana"
"24808","1211","23528","1333","147","176","23030","1397","351","282","1280","470","0500000US18011","Boone County, Indiana"
"45905","1254","42569","1413","36","64","35091","1964","7442","1641","3336","779","0500000US18019","Clark County, Indiana"
"45311","1941","40470","2135","119","194","35226","2144","5125","1449","4841","950","0500000US18035","Delaware County, Indiana"
"73660","1927","66826","2173","164","163","61914","2273","4748","1289","6834","1294","0500000US18039","Elkhart County, Indiana"
"30300","992","28457","1110","65","107","24656","1296","3736","1040","1843","448","0500000US18043","Floyd County, Indiana"
"26923","973","23694","1196","59","85","20219","1149","3416","866","3229","867","0500000US18053","Grant County, Indiana"
"122876","1759","119943","1809","72","109","115410","2146","4461","1283","2933","803","0500000US18057","Hamilton County, Indiana"
"29605","726","27986","950","114","197","24176","1445","3696","1200","1619","647","0500000US18059","Hancock County, Indiana"
"60368","1368","58917","1345","85","137","54523","1665","4309","1298","1451","545","0500000US18063","Hendricks County, Indiana"
"35139","1401","32794","1493","0","198","27689","1618","5105","1278","2345","706","0500000US18067","Howard County, Indiana"
"57504","1377","54724","1579","96","116","51760","1668","2868","1059","2780","838","0500000US18081","Johnson County, Indiana"
"30798","1441","28537","1444","149","134","24992","1313","3396","993","2261","556","0500000US18085","Kosciusko County, Indiana"
"186769","2797","165964","3412","334","188","153757","3603","11873","1386","20805","2565","0500000US18089","Lake County, Indiana"
