id,total (total_pop),total (int_access),total (income),perc_int_access,perc_income
44009,126179,47680,33596,37.7876,26.6257
45003,169401,68609,44856,40.5009,26.4792
45007,200482,78500,52409,39.1556,26.1415
45013,188715,74679,52507,39.5724,27.8234
45015,221091,78168,55010,35.3556,24.8812
45019,405905,160457,93097,39.5307,22.9357
45031,66802,25308,15322,37.8851,22.9364
45035,160647,55799,39863,34.7339,24.814
45041,138159,50518,34199,36.5651,24.7534
45045,514213,192556,124883,37.4467,24.2862
45047,70741,27962,18700,39.5273,26.4345
45051,344147,131180,81977,38.1174,23.8203
45055,65592,24756,17157,37.7424,26.1572
45057,95380,35710,26981,37.4397,28.2879
45059,66994,25423,17551,37.9482,26.1979
45063,295032,115566,76627,39.1707,25.9724
45073,78374,31612,19747,40.3348,25.1959
45075,86934,33561,20665,38.6051,23.7709
45077,124937,48185,28804,38.5674,23.0548
45079,414576,152227,92710,36.7187,22.3626
45083,313888,116018,80444,36.9616,25.6283
45085,106512,40396,28662,37.9262,26.9096
45091,274118,100623,67642,36.7079,24.6762
46099,192876,76630,47106,39.7302,24.4229
46103,111729,44794,27749,40.0917,24.836
47001,76482,29505,18778,38.5777,24.5522
47009,131349,51446,38384,39.1674,29.2229
47011,106727,39104,26252,36.6393,24.5973
47037,692587,283445,159825,40.9255,23.0765
47059,69087,27316,19095,39.5386,27.6391
47065,364286,146057,91666,40.094,25.1632
47093,465289,185416,115889,39.8496,24.9069
47113,97605,39223,24957,40.1854,25.5694
47119,94340,34361,24730,36.4225,26.2137
47125,205950,72973,52385,35.4324,25.4358
47141,78843,33388,21230,42.3475,26.9269
47147,71012,26375,21004,37.1416,29.5781
47149,324890,115376,79776,35.5123,24.5548
47155,97892,36861,25822,37.6548,26.378
47157,935764,352648,214219,37.6856,22.8924
47163,157668,64504,39586,40.9113,25.1072
1015,114277,44264,30110,38.734,26.3483
1043,83442,30323,21587,36.3402,25.8707
1049,71385,26462,19148,37.0694,26.8236
1051,81887,30155,22103,36.8251,26.9921
1055,102501,38625,26319,37.6826,25.6768
1069,104722,38861,25002,37.1087,23.8746
1073,659300,255940,159115,38.82,24.1339
1077,92387,38670,27140,41.8565,29.3764
1081,163941,59336,37314,36.1935,22.7606
1083,96174,32333,23006,33.6193,23.9212
1089,366519,152723,97542,41.6685,26.6131
1095,96109,36022,24111,37.4804,25.0871
1097,413757,158627,100153,38.3382,24.2058
1101,225763,87553,54249,38.7809,24.0292
1103,119089,45851,32627,38.5015,27.3972
1115,88690,30765,22372,34.6882,25.2249
5045,124806,43701,27357,35.0151,21.9196
5051,99154,40407,27143,40.7518,27.3746
5069,68114,25689,14864,37.7147,21.8222
5085,73657,28132,20157,38.1932,27.366
5119,392680,157678,97688,40.1543,24.8773
5125,121421,43496,32652,35.8225,26.8916
5131,127753,51739,34503,40.4992,27.0076
5143,236961,90001,58171,37.9814,24.5488
12071,754610,281222,180020,37.2672,23.856
12073,292502,113390,61334,38.7655,20.9687
12081,394855,150814,99502,38.1948,25.1996
12083,359977,143441,93029,39.8473,25.843
12085,160912,63070,38310,39.1953,23.808
12086,2761581,895801,622526,32.438,22.5424
12087,75027,31362,18944,41.801,25.2496
12089,85832,32624,23407,38.0091,27.2707
12091,207269,79570,51819,38.3897,25.0008
12095,1380645,458157,298508,33.1843,21.6209
12097,367990,102705,72198,27.9097,19.6196
12099,1485941,552286,337212,37.1674,22.6935
12101,539630,205128,131802,38.0127,24.4245
12103,975280,405892,221744,41.618,22.7364
12105,708009,241171,166438,34.0633,23.5079
12107,74163,27927,17301,37.6562,23.3283
12109,254261,90109,63627,35.4396,25.0243
12111,321128,118768,81576,36.9846,25.403
72127,320967,147267,83520,45.8823,26.0214
72135,71094,21511,16232,30.2571,22.8317
72137,74623,26085,18440,34.9557,24.7109
72139,63746,23195,16876,36.3866,26.4738
48347,65711,23442,14717,35.6744,22.3966
48355,362265,129987,87889,35.8817,24.261
48361,83572,30047,20284,35.9534,24.2713
48367,138371,46238,34321,33.416,24.8036
48375,119648,45550,28561,38.07,23.8709
48381,136271,49457,34152,36.2931,25.0618
48397,100657,34590,29363,34.3642,29.1713
48409,66893,22202,16235,33.1903,24.2701
48423,230221,77330,54682,33.5895,23.752
48439,2084931,722473,502918,34.6521,24.1216
48441,137640,49811,32688,36.1893,23.7489
48451,118189,43301,28326,36.6371,23.9667
48453,1248743,486548,281467,38.963,22.54
48469,92035,31918,21814,34.6803,23.7019
48471,72480,22693,13354,31.3093,18.4244
48479,275910,75300,59208,27.2915,21.4592
48485,132064,46757,30563,35.4048,23.1426
48491,566719,185345,135729,32.7049,23.95
13127,85219,34634,23068,40.6412,27.0691
13135,927781,297658,223536,32.0828,24.0936
13139,202148,64990,47579,32.1497,23.5367
13151,230220,75926,59142,32.9798,25.6893
13153,155469,58155,38986,37.4062,25.0764
48291,86323,27468,18066,31.82,20.9284
48303,307412,115686,71198,37.6322,23.1604
48309,254607,92158,60708,36.1962,23.8438
48329,172578,57636,38617,33.3971,22.3765
48339,590925,202797,147327,34.3186,24.9316
13157,70422,23640,19138,33.5691,27.1762
13185,116321,41734,23712,35.8783,20.385
13215,194160,72862,43324,37.5268,22.3136
13217,109541,38436,27727,35.0882,25.312
13223,164044,53630,41506,32.6924,25.3017
13245,201554,70534,39598,34.9951,19.6463
13247,90594,31460,22818,34.7264,25.1871
13255,66100,25659,16956,38.8185,25.652
13285,70034,25417,17648,36.2924,25.1992
13295,69410,26895,18983,38.748,27.3491
13297,93503,32624,24593,34.8909,26.3018
13313,104062,36658,24907,35.2271,23.9348
15001,200983,71565,46712,35.6075,23.2418
15003,980080,308208,215379,31.4472,21.9757
15007,72133,22685,16333,31.4489,22.6429
15009,167218,52794,38425,31.572,22.979
16001,469966,178712,116638,38.0266,24.8184
16005,87138,30635,19895,35.1569,22.8316
16019,116854,40224,28661,34.4224,24.5272
16027,223499,74520,52768,33.3424,23.6099
16055,161505,64955,44826,40.2186,27.7552
16083,86081,32041,21908,37.2219,25.4504
55063,118230,47924,26812,40.5345,22.6778
55071,79074,35259,21201,44.5899,26.8116
55073,135428,56245,37425,41.5313,27.6346
55079,948201,384281,218292,40.5274,23.0217
55087,187365,74603,50437,39.8169,26.9191
55089,89147,36261,25444,40.6755,28.5416
55097,70942,29193,17499,41.1505,24.6666
55101,196584,76808,50339,39.0713,25.6069
37037,73139,28343,20178,38.7522,27.5886
37045,97645,34574,23916,35.4079,24.4928
37049,102912,40412,27544,39.2685,26.7646
37051,332330,127911,80255,38.4892,24.1492
37057,166614,68761,47046,41.2696,28.2365
37063,316739,127527,74670,40.2625,23.5746
37067,379099,150437,92137,39.6828,24.3042
37069,67560,26380,19248,39.0468,28.4902
37071,222846,84999,56260,38.1425,25.2461
37081,533670,209842,133620,39.3206,25.0379
37085,134214,46015,32968,34.2848,24.5638
37089,116748,49514,32138,42.411,27.5277
37097,178435,68328,50844,38.2929,28.4944
37101,202675,70001,51274,34.5385,25.2986
37109,83770,34233,24405,40.8655,29.1333
37119,1093901,418135,257010,38.2242,23.4948
37125,98682,40756,26079,41.3003,26.4273
37127,94016,37767,24960,40.1708,26.5487
37129,232274,98151,53225,42.2566,22.9147
37133,197683,66834,48917,33.8087,24.7452
37135,146027,53959,32935,36.9514,22.554
37147,179914,69288,38161,38.5117,21.2107
37151,143351,54783,38557,38.216,26.8969
37155,131831,46026,30683,34.9129,23.2745
37157,90690,37476,25147,41.3232,27.7285
37159,141262,53806,35893,38.0895,25.4088
37161,66826,26305,17833,39.3634,26.6857
37171,71948,29230,18984,40.6266,26.3857
37179,235908,77696,61323,32.9349,25.9945
37183,1092305,408473,271974,37.3955,24.8991
37191,123248,49019,32860,39.7727,26.6617
37193,68557,30123,19108,43.9386,27.8717
37195,81455,31817,18572,39.0608,22.8003
38015,95273,40736,25038,42.7571,26.2803
38017,181516,74343,41846,40.9567,23.0536
38035,70770,30916,17304,43.6852,24.451
38101,67744,27887,14737,41.1653,21.754
39003,102663,41204,25968,40.1352,25.2944
39007,97493,35445,22124,36.3565,22.6929
39009,65818,22533,11577,34.2353,17.5894
39013,67505,24742,14724,36.6521,21.8117
39017,382378,143040,94760,37.408,24.7818
39023,134585,55327,34548,41.1093,25.67
39025,205466,77920,51525,37.9235,25.0771
39029,102665,41884,26096,40.7968,25.4186
39035,1243857,542122,295330,43.584,23.7431
39041,204826,70501,53224,34.4199,25.985
39043,74615,31675,19697,42.4512,26.3982
39045,155782,55934,40227,35.9053,25.8226
39103,179146,70609,52471,39.4142,29.2895
39109,106222,41148,26294,38.7377,24.7538
39113,532331,224225,131352,42.1213,24.6749
39119,86183,34471,22554,39.9974,26.1699
39133,162927,60801,38898,37.3179,23.8745
39139,121099,48105,30700,39.7237,25.3512
39141,76931,29779,19678,38.7087,25.5788
39145,75502,28719,19352,38.0374,25.6311
39151,371574,152210,94986,40.9636,25.5631
