id,total,has_computer,no_computer
45007,78500,70796,7704
45013,74679,71091,3588
45015,78168,72804,5364
45019,160457,151084,9373
45031,25308,19772,5536
45035,55799,53575,2224
45041,50518,44153,6365
45045,192556,176584,15972
45047,27962,23532,4430
45051,131180,122384,8796
45055,24756,22514,2242
45057,35710,32816,2894
45059,25423,20856,4567
45063,115566,106203,9363
45073,31612,26826,4786
45075,33561,28506,5055
45077,48185,42948,5237
45079,152227,143986,8241
45083,116018,103498,12520
45085,40396,35352,5044
45091,100623,94575,6048
46099,76630,71368,5262
46103,44794,40973,3821
47001,29505,26829,2676
47009,51446,46314,5132
47011,39104,34702,4402
47037,283445,266714,16731
47059,27316,23846,3470
47065,146057,132588,13469
47093,185416,170004,15412
47113,39223,35486,3737
47119,34361,31470,2891
47125,72973,69879,3094
47141,33388,30404,2984
47147,26375,24237,2138
47149,115376,109975,5401
47155,36861,33051,3810
47157,352648,299329,53319
47163,64504,56805,7699
47165,68439,63714,4725
47179,54433,48983,5450
47187,80601,78435,2166
47189,52489,49222,3267
48005,29898,27305,2593
48021,25334,22616,2718
48027,123188,113934,9254
48029,644193,599824,44369
48037,35228,28762,6466
48039,120802,112721,8081
48041,81030,77581,3449
48061,124812,103473,21339
48085,344824,339237,5587
48091,53182,50023,3159
48099,21491,19416,2075
48113,937438,857816,79622
48121,297899,291597,6302
48135,54326,50290,4036
48139,58633,56550,2083
48141,270160,242853,27307
48157,245410,238410,7000
48167,121976,113916,8060
48181,48963,45238,3725
48183,45513,41130,4383
48187,54789,51249,3540
48201,1600357,1494324,106033
48203,22928,19904,3024
48209,75164,72177,2987
48213,30843,26604,4239
48215,237323,199322,38001
48231,34132,31608,2524
48245,90839,81520,9319
48251,59180,55953,3227
48257,39049,35515,3534
48291,27468,23281,4187
48303,115686,107416,8270
48309,92158,81549,10609
48329,57636,54356,3280
48339,202797,195652,7145
48347,23442,20500,2942
48355,129987,116753,13234
48361,30047,26975,3072
48367,46238,43889,2349
48375,45550,40998,4552
48381,49457,47611,1846
48397,34590,33925,665
48409,22202,19129,3073
48423,77330,72904,4426
48439,722473,693257,29216
48441,49811,45743,4068
48451,43301,39763,3538
48453,486548,471154,15394
48469,31918,27337,4581
48471,22693,20669,2024
48479,75300,64670,10630
48485,46757,42316,4441
48491,185345,180719,4626
48497,22864,21496,1368
49005,39224,37929,1295
49011,104462,102241,2221
49035,381831,367385,14446
49045,20411,19426,985
49049,171117,168065,3052
49053,59863,57202,2661
49057,85615,81465,4150
50007,66095,62458,3637
51003,41956,39870,2086
51013,109940,104636,5304
51015,29783,26307,3476
51019,31271,28393,2878
51041,126748,120585,6163
51059,396628,386510,10118
51061,25134,24030,1104
51069,31551,28700,2851
51085,39929,37442,2487
51087,129408,120960,8448
51095,29849,28792,1057
51107,133417,130543,2874
51121,34585,31920,2665
51153,143861,140592,3269
51161,38061,34723,3338
51165,31462,27907,3555
51177,45223,43649,1574
51179,48418,47386,1032
51199,24996,23411,1585
51510,71740,67628,4112
51550,86122,81630,4492
51650,54800,49821,4979
51680,28500,25520,2980
51700,71291,64875,6416
51710,89338,82739,6599
51740,34578,31268,3310
51760,91359,82121,9238
51770,41353,34696,6657
51800,34890,31615,3275
51810,172183,165042,7141
53005,71921,67784,4137
53007,31587,29379,2208
53009,33265,29950,3315
53011,178980,170753,8227
53015,43279,39444,3835
53021,27067,25754,1313
53025,30806,28090,2716
53027,27674,25017,2657
53029,34572,32839,1733
53033,897476,861049,36427
53035,105411,100844,4567
53041,30327,27838,2489
53045,25864,24049,1815
53053,328519,312005,16514
53057,48474,45616,2858
53061,300215,290008,10207
53063,206191,192835,13356
53067,110713,103987,6726
53073,87080,81642,5438
53077,83320,75971,7349
54003,45800,41923,3877
54011,38024,33876,4148
54033,26878,23580,3298
54039,78482,69409,9073
54061,40603,38391,2212
54081,31169,25671,5498
54107,36064,31406,4658
55009,104470,95538,8932
55025,226350,215750,10600
55027,35221,31602,3619
55035,40421,37594,2827
55039,41009,35818,5191
55055,33180,30745,2435
55059,62950,58007,4943
55063,47924,43985,3939
55071,35259,31284,3975
55073,56245,50454,5791
55079,384281,335706,48575
55087,74603,69102,5501
55089,36261,33801,2460
55097,29193,26564,2629
55101,76808,70954,5854
55105,64632,58315,6317
55109,34422,31835,2587
55117,46308,41881,4427
55127,40864,37644,3220
55131,55488,51865,3623
55133,158368,149379,8989
55139,71332,65375,5957
55141,32274,28624,3650
56021,39678,36384,3294
56025,32240,30362,1878
72013,30206,21164,9042
72021,64932,56009,8923
72025,47374,37853,9521
72031,61313,50048,11265
72061,27857,23102,4755
72097,30909,24805,6104
72113,53450,36068,17382
72127,147267,91339,55928
72135,21511,18109,3402
72137,26085,22944,3141
72139,23195,19110,4085
