index,id,geographic_area_name,households,avg_household_income_dollars
490,37025,"Cabarrus County, North Carolina",73751,89464
491,37027,"Caldwell County, North Carolina",31544,58787
492,37031,"Carteret County, North Carolina",28720,68939
493,37035,"Catawba County, North Carolina",62861,66315
494,37037,"Chatham County, North Carolina",28343,104799
495,37045,"Cleveland County, North Carolina",34574,54716
496,37049,"Craven County, North Carolina",40412,65301
497,37051,"Cumberland County, North Carolina",127911,61491
498,37057,"Davidson County, North Carolina",68761,60887
499,37063,"Durham County, North Carolina",127527,82885
500,37067,"Forsyth County, North Carolina",150437,73262
501,37069,"Franklin County, North Carolina",26380,75625
502,37071,"Gaston County, North Carolina",84999,69665
503,37081,"Guilford County, North Carolina",209842,76103
504,37085,"Harnett County, North Carolina",46015,64140
505,37089,"Henderson County, North Carolina",49514,72361
506,37097,"Iredell County, North Carolina",68328,83901
507,37101,"Johnston County, North Carolina",70001,73747
508,37109,"Lincoln County, North Carolina",34233,84538
509,37119,"Mecklenburg County, North Carolina",418135,95943
510,37125,"Moore County, North Carolina",40756,80720
511,37127,"Nash County, North Carolina",37767,72738
512,37129,"New Hanover County, North Carolina",98151,73080
513,37133,"Onslow County, North Carolina",66834,61979
514,37135,"Orange County, North Carolina",53959,119216
515,37147,"Pitt County, North Carolina",69288,59322
516,37151,"Randolph County, North Carolina",54783,65544
517,37155,"Robeson County, North Carolina",46026,46921
518,37157,"Rockingham County, North Carolina",37476,56433
519,37159,"Rowan County, North Carolina",53806,64677
520,37161,"Rutherford County, North Carolina",26305,57586
521,37171,"Surry County, North Carolina",29230,62494
522,37179,"Union County, North Carolina",77696,109937
523,37183,"Wake County, North Carolina",408473,106985
524,37191,"Wayne County, North Carolina",49019,63210
525,37193,"Wilkes County, North Carolina",30123,63537
526,37195,"Wilson County, North Carolina",31817,59891
527,38015,"Burleigh County, North Dakota",40736,88539
528,38017,"Cass County, North Dakota",74343,93453
529,38035,"Grand Forks County, North Dakota",30916,70928
530,38101,"Ward County, North Dakota",27887,74018
531,39003,"Allen County, Ohio",41204,63196
532,39007,"Ashtabula County, Ohio",35445,60364
533,39009,"Athens County, Ohio",22533,52960
534,39013,"Belmont County, Ohio",24742,63469
535,39017,"Butler County, Ohio",143040,81404
536,39023,"Clark County, Ohio",55327,62017
537,39025,"Clermont County, Ohio",77920,82890
538,39029,"Columbiana County, Ohio",41884,59305
539,39035,"Cuyahoga County, Ohio",542122,75460
540,39041,"Delaware County, Ohio",70501,130488
541,39043,"Erie County, Ohio",31675,68826
542,39045,"Fairfield County, Ohio",55934,83773
543,39049,"Franklin County, Ohio",519468,81791
544,39055,"Geauga County, Ohio",35387,120376
545,39057,"Greene County, Ohio",66053,90572
546,39061,"Hamilton County, Ohio",344562,83983
547,39063,"Hancock County, Ohio",31606,77579
548,39081,"Jefferson County, Ohio",27292,64461
549,39085,"Lake County, Ohio",96577,83949
550,39089,"Licking County, Ohio",62237,83731
551,39093,"Lorain County, Ohio",121344,78048
552,39095,"Lucas County, Ohio",178289,66196
553,39099,"Mahoning County, Ohio",97365,67418
554,39101,"Marion County, Ohio",24205,54542
555,39103,"Medina County, Ohio",70609,95224
556,39109,"Miami County, Ohio",41148,75288
557,39113,"Montgomery County, Ohio",224225,69221
558,39119,"Muskingum County, Ohio",34471,65748
559,39133,"Portage County, Ohio",60801,82333
560,39139,"Richland County, Ohio",48105,61538
561,39141,"Ross County, Ohio",29779,60114
562,39145,"Scioto County, Ohio",28719,53019
563,39151,"Stark County, Ohio",152210,67188
564,39153,"Summit County, Ohio",226243,79109
565,39155,"Trumbull County, Ohio",83303,60247
566,39157,"Tuscarawas County, Ohio",36740,66384
567,39165,"Warren County, Ohio",83540,109950
568,39169,"Wayne County, Ohio",43908,71609
569,39173,"Wood County, Ohio",50694,82558
570,40017,"Canadian County, Oklahoma",45344,82480
571,40027,"Cleveland County, Oklahoma",110775,79417
572,40031,"Comanche County, Oklahoma",42489,66258
573,40037,"Creek County, Oklahoma",26957,71791
574,40101,"Muskogee County, Oklahoma",26566,62402
575,40109,"Oklahoma County, Oklahoma",302645,77977
576,40119,"Payne County, Oklahoma",30734,67211
577,40125,"Pottawatomie County, Oklahoma",26714,60846
578,40131,"Rogers County, Oklahoma",35254,82894
579,40143,"Tulsa County, Oklahoma",250492,79374
580,40145,"Wagoner County, Oklahoma",30186,76909
581,41003,"Benton County, Oregon",35520,83121
582,41005,"Clackamas County, Oregon",158749,109685
583,41017,"Deschutes County, Oregon",79950,92270
584,41019,"Douglas County, Oregon",45647,59497
585,41029,"Jackson County, Oregon",89787,75097
586,41033,"Josephine County, Oregon",37059,62844
587,41035,"Klamath County, Oregon",26798,56559
588,41039,"Lane County, Oregon",156072,70610
589,41043,"Linn County, Oregon",48464,68989
590,41047,"Marion County, Oregon",119511,72139
591,41051,"Multnomah County, Oregon",330223,96037
592,41053,"Polk County, Oregon",31218,82141
593,41059,"Umatilla County, Oregon",26048,67540
594,41067,"Washington County, Oregon",225955,104704
595,41071,"Yamhill County, Oregon",37235,82789
596,42001,"Adams County, Pennsylvania",39570,76958
