index,total_pop,id,Geographic Area Name
368,159256,27145,"Stearns County, Minnesota"
369,259201,27163,"Washington County, Minnesota"
370,136349,27171,"Wright County, Minnesota"
371,182001,28033,"DeSoto County, Mississippi"
372,75036,28035,"Forrest County, Mississippi"
373,206650,28047,"Harrison County, Mississippi"
374,237085,28049,"Hinds County, Mississippi"
375,143277,28059,"Jackson County, Mississippi"
376,68461,28067,"Jones County, Mississippi"
377,75317,28075,"Lauderdale County, Mississippi"
378,85202,28081,"Lee County, Mississippi"
379,105630,28089,"Madison County, Mississippi"
380,153902,28121,"Rankin County, Mississippi"
381,180005,29019,"Boone County, Missouri"
382,88571,29021,"Buchanan County, Missouri"
383,78753,29031,"Cape Girardeau County, Missouri"
384,104954,29037,"Cass County, Missouri"
385,86983,29043,"Christian County, Missouri"
386,246365,29047,"Clay County, Missouri"
387,76796,29051,"Cole County, Missouri"
388,103670,29071,"Franklin County, Missouri"
389,291923,29077,"Greene County, Missouri"
390,700307,29095,"Jackson County, Missouri"
391,120636,29097,"Jasper County, Missouri"
392,224347,29099,"Jefferson County, Missouri"
393,102985,29165,"Platte County, Missouri"
394,399182,29183,"St. Charles County, Missouri"
395,66692,29187,"St. Francois County, Missouri"
396,996945,29189,"St. Louis County, Missouri"
397,302838,29510,"St. Louis city, Missouri"
398,81643,30013,"Cascade County, Montana"
399,102106,30029,"Flathead County, Montana"
400,111876,30031,"Gallatin County, Montana"
401,68700,30049,"Lewis and Clark County, Montana"
402,118791,30063,"Missoula County, Montana"
403,160137,30111,"Yellowstone County, Montana"
404,566880,31055,"Douglas County, Nebraska"
405,317272,31109,"Lancaster County, Nebraska"
406,184459,31153,"Sarpy County, Nebraska"
407,2231647,32003,"Clark County, Nevada"
408,465735,32031,"Washoe County, Nevada"
409,76493,33005,"Cheshire County, New Hampshire"
410,89786,33009,"Grafton County, New Hampshire"
411,415247,33011,"Hillsborough County, New Hampshire"
412,151132,33013,"Merrimack County, New Hampshire"
413,309176,33015,"Rockingham County, New Hampshire"
414,130090,33017,"Strafford County, New Hampshire"
415,265429,34001,"Atlantic County, New Jersey"
416,936692,34003,"Bergen County, New Jersey"
417,445384,34005,"Burlington County, New Jersey"
418,507078,34007,"Camden County, New Jersey"
419,92560,34009,"Cape May County, New Jersey"
420,150972,34011,"Cumberland County, New Jersey"
421,799767,34013,"Essex County, New Jersey"
422,291408,34015,"Gloucester County, New Jersey"
423,676061,34017,"Hudson County, New Jersey"
424,124714,34019,"Hunterdon County, New Jersey"
425,369811,34021,"Mercer County, New Jersey"
426,829685,34023,"Middlesex County, New Jersey"
427,621354,34025,"Monmouth County, New Jersey"
428,494228,34027,"Morris County, New Jersey"
429,601651,34029,"Ocean County, New Jersey"
430,503310,34031,"Passaic County, New Jersey"
431,62607,34033,"Salem County, New Jersey"
432,331164,34035,"Somerset County, New Jersey"
433,140799,34037,"Sussex County, New Jersey"
434,558067,34039,"Union County, New Jersey"
435,105779,34041,"Warren County, New Jersey"
436,678701,35001,"Bernalillo County, New Mexico"
437,64689,35005,"Chaves County, New Mexico"
438,217522,35013,"Doña Ana County, New Mexico"
439,69611,35025,"Lea County, New Mexico"
440,72290,35031,"McKinley County, New Mexico"
441,66781,35035,"Otero County, New Mexico"
442,145179,35043,"Sandoval County, New Mexico"
443,125043,35045,"San Juan County, New Mexico"
444,150056,35049,"Santa Fe County, New Mexico"
445,76456,35061,"Valencia County, New Mexico"
446,307117,36001,"Albany County, New York"
447,1432132,36005,"Bronx County, New York"
448,191659,36007,"Broome County, New York"
449,76840,36009,"Cattaraugus County, New York"
450,77145,36011,"Cayuga County, New York"
451,127939,36013,"Chautauqua County, New York"
452,84254,36015,"Chemung County, New York"
453,80695,36019,"Clinton County, New York"
454,293718,36027,"Dutchess County, New York"
455,919719,36029,"Erie County, New York"
456,111755,36045,"Jefferson County, New York"
457,2582830,36047,"Kings County, New York"
458,63227,36051,"Livingston County, New York"
459,70795,36053,"Madison County, New York"
460,742474,36055,"Monroe County, New York"
461,1358343,36059,"Nassau County, New York"
462,1628701,36061,"New York County, New York"
463,210433,36063,"Niagara County, New York"
464,229577,36065,"Oneida County, New York"
465,461809,36067,"Onondaga County, New York"
466,109864,36069,"Ontario County, New York"
467,381951,36071,"Orange County, New York"
468,117898,36075,"Oswego County, New York"
469,98892,36079,"Putnam County, New York"
470,2278906,36081,"Queens County, New York"
471,159442,36083,"Rensselaer County, New York"
472,476179,36085,"Richmond County, New York"
473,325695,36087,"Rockland County, New York"
474,108047,36089,"St. Lawrence County, New York"
475,230163,36091,"Saratoga County, New York"
476,155350,36093,"Schenectady County, New York"
477,95796,36101,"Steuben County, New York"
478,1481093,36103,"Suffolk County, New York"
479,75498,36105,"Sullivan County, New York"
480,102793,36109,"Tompkins County, New York"
481,178599,36111,"Ulster County, New York"
482,64265,36113,"Warren County, New York"
483,90064,36117,"Wayne County, New York"
484,967612,36119,"Westchester County, New York"
485,166436,37001,"Alamance County, North Carolina"
486,136744,37019,"Brunswick County, North Carolina"
487,259103,37021,"Buncombe County, North Carolina"
488,90382,37023,"Burke County, North Carolina"
489,211342,37025,"Cabarrus County, North Carolina"
490,82029,37027,"Caldwell County, North Carolina"
491,69524,37031,"Carteret County, North Carolina"
492,158652,37035,"Catawba County, North Carolina"
493,73139,37037,"Chatham County, North Carolina"
494,97645,37045,"Cleveland County, North Carolina"
495,102912,37049,"Craven County, North Carolina"
496,332330,37051,"Cumberland County, North Carolina"
