total,less_10000_total,less_10000_internet,less_10000_none,_10000_19900_total,_10000_19900_internet,_10000_19900_none,_20000_34999_total,_20000_34999_internet,_20000_34999_none,_35000_49999_total,_35000_49999_internet,_35000_49999_none,_50000_74900_total,_50000_74900_internet,_50000_74900_none,greater_75000_total,greater_75000_internet,greater_75000_none,id,geographic_area_name
106198,6829,5401,1428,6105,4951,1154,11240,9121,2119,11689,9774,1915,19442,17024,2418,50893,48293,2600,6079,"San Luis Obispo County, California"
259654,8435,6553,1882,12076,8479,3597,16512,12739,3773,13735,12310,1425,26556,24166,2390,182340,176159,6181,6081,"San Mateo County, California"
146224,7190,5539,1651,8719,4721,3998,16589,14566,2023,14556,13127,1429,23857,22121,1736,75313,72333,2980,6083,"Santa Barbara County, California"
645108,20362,16335,4027,28333,18914,9419,41393,34135,7258,40254,35890,4364,68824,63464,5360,445942,435541,10401,6085,"Santa Clara County, California"
94994,5046,3176,1870,5956,3725,2231,9420,6884,2536,8968,7817,1151,12895,11448,1447,52709,51040,1669,6087,"Santa Cruz County, California"
68198,5001,3475,1526,6820,4982,1838,9335,6809,2526,9535,7986,1549,12403,11779,624,25104,24069,1035,6089,"Shasta County, California"
152291,6082,4722,1360,7176,5251,1925,10755,9418,1337,15821,14224,1597,26591,25279,1312,85866,83260,2606,6095,"Solano County, California"
187434,7467,5609,1858,11699,9029,2670,18615,15708,2907,19491,17775,1716,29303,27226,2077,100859,98993,1866,6097,"Sonoma County, California"
175171,9012,5778,3234,17112,10756,6356,24171,19335,4836,22344,19276,3068,34011,31519,2492,68521,66119,2402,6099,"Stanislaus County, California"
31989,1731,1040,691,2366,1578,788,4932,3942,990,4336,3184,1152,6032,5656,376,12592,11915,677,6101,"Sutter County, California"
139197,11462,7336,4126,16463,9733,6730,23485,16228,7257,19519,15093,4426,23799,21123,2676,44469,41493,2976,6107,"Tulare County, California"
271980,9811,7675,2136,14796,9475,5321,25985,19943,6042,29478,25208,4270,38372,35585,2787,153538,146010,7528,6111,"Ventura County, California"
74428,5961,5057,904,5258,4071,1187,10256,7798,2458,7439,6241,1198,11230,10451,779,34284,33871,413,6113,"Yolo County, California"
26191,1265,618,647,3288,1658,1630,4118,3100,1018,4933,2816,2117,3529,2886,643,9058,8799,259,6115,"Yuba County, California"
168361,6769,4692,2077,8772,5818,2954,18551,15317,3234,22655,18971,3684,33935,29740,4195,77679,73623,4056,8001,"Adams County, Colorado"
242141,10219,7879,2340,12729,8363,4366,25365,22075,3290,30320,27597,2723,39118,36621,2497,124390,120809,3581,8005,"Arapahoe County, Colorado"
128295,8950,7825,1125,6988,5269,1719,12449,9979,2470,11498,10030,1468,18190,17184,1006,70220,67948,2272,8013,"Boulder County, Colorado"
28530,530,462,68,796,730,66,2133,2004,129,3104,2180,924,5344,5034,310,16623,16157,466,8014,"Broomfield County, Colorado"
310324,18752,13302,5450,22693,15635,7058,37352,30600,6752,33907,28946,4961,55438,49987,5451,142182,137800,4382,8031,"Denver County, Colorado"
125035,1697,1519,178,2892,2449,443,6832,6299,533,7179,6537,642,15648,14857,791,90787,89306,1481,8035,"Douglas County, Colorado"
260851,12290,9282,3008,15888,11859,4029,33930,28130,5800,31272,28826,2446,49491,47752,1739,117980,115181,2799,8041,"El Paso County, Colorado"
233272,8397,6123,2274,12499,8054,4445,19964,15806,4158,24003,21949,2054,37177,33139,4038,131232,128605,2627,8059,"Jefferson County, Colorado"
