id,total,i_under_050,i_050_074,i_075_099,i_100_124,i_125_149,i_150_174,i_175_184,i_185_199,i_200_299,i_300_399,i_400_499,i_500_over
15007,16333,270,208,103,511,873,384,180,628,2534,2383,1760,6499
15009,38425,644,265,444,862,1184,917,330,1115,5325,5901,5772,15666
16001,116638,3298,2293,1339,2808,3375,3315,1949,2591,17905,16622,16993,44150
16005,19895,557,412,566,778,1175,748,298,643,4443,2591,2386,5298
16019,28661,926,344,861,621,1915,787,944,950,5903,4002,3393,8015
16027,52768,1388,1193,1308,2740,2781,3430,1024,2372,12425,9126,5965,9016
16055,44826,673,1661,1144,2404,1706,1598,376,2271,8609,7823,4178,12383
16083,21908,480,433,1257,725,569,1029,491,471,4933,3798,3487,4235
17001,17655,289,284,584,554,634,568,269,372,2842,3330,2484,5445
17019,42528,1694,711,1008,2112,1093,914,317,692,5534,5678,5419,17356
17031,1181463,46806,33836,39340,45583,46288,46130,22459,28043,175416,140030,112787,444745
17037,21298,811,488,278,614,462,938,188,451,3091,3334,2713,7930
17043,244235,5854,1540,3628,4766,3919,4526,1724,3785,23944,26312,29189,135048
17089,136596,2594,2777,3365,4014,5429,4202,2364,1844,18384,18561,17158,55904
17091,26634,1409,677,1009,1508,775,926,431,473,4185,4283,3248,7710
17093,32362,265,58,369,227,6,1006,543,878,3928,7046,4603,13433
17097,178902,4106,3845,1746,6051,4716,5580,1480,2443,18813,20738,17995,91389
17099,28804,1083,1205,1598,670,859,1036,808,269,4650,4793,3077,8756
17111,87366,2094,910,639,1542,802,2657,998,1170,10548,12815,13683,39508
17113,39649,1301,733,745,815,865,1011,368,434,4784,5202,6284,17107
17115,27761,1723,629,1102,718,978,643,398,866,4670,4516,3228,8290
17119,72691,2416,2182,2103,2271,2692,1758,809,745,11606,11024,11159,23926
17143,42810,2071,1489,996,1670,1287,1284,313,678,6642,6708,5618,14054
17161,37658,1350,1229,1371,1446,1374,1778,378,1571,5943,5223,4342,11653
17163,62855,2020,1654,2568,1714,2350,1155,725,1801,8603,8877,8881,22507
17167,50266,2314,1392,1233,1688,1921,914,745,1014,6884,6443,5463,20255
17179,36209,968,917,477,1081,1733,982,467,693,5517,6371,5523,11480
17183,18856,1621,435,789,1180,483,528,154,909,3366,3133,2108,4150
17197,175294,3254,2987,1708,4232,4694,4383,1205,2457,23663,23172,21654,81885
17199,16751,342,484,710,1318,704,629,595,396,3561,2061,1966,3985
17201,74514,3161,2801,2995,3989,2261,3292,788,1266,12934,11501,8586,20940
18003,96270,3807,2524,3456,4715,3328,3097,2156,2181,17483,14872,11529,27122
18005,20485,1026,238,309,448,526,589,841,279,3375,3313,3840,5701
18011,19702,113,400,321,321,203,509,123,164,2841,3292,2095,9320
18019,30544,817,827,980,620,828,977,600,469,5920,4590,4290,9626
18035,26313,1371,493,1894,1085,1516,842,535,627,4215,4103,4191,5441
18039,53807,2211,1102,1770,2094,1876,2653,1060,1373,11502,9016,6910,12240
18043,19707,371,458,378,352,559,129,362,381,2944,3282,2809,7682
18053,17508,902,1140,718,426,412,643,747,338,3970,3187,1484,3541
18057,93370,941,862,792,1766,1684,2789,618,380,8781,11938,13073,49746
18059,20426,399,108,57,671,358,789,0,661,3388,3734,3282,6979
18063,45502,627,737,783,277,232,1079,122,969,7603,6967,8585,17521
18067,23489,749,822,802,484,655,1224,421,619,3364,4296,3019,7034
18081,41158,980,397,459,960,1050,803,477,868,6262,7611,7192,14099
18085,20175,354,157,619,779,400,684,207,438,4727,3148,2321,6341
18089,122000,6830,3720,4571,4490,6241,4271,1884,1674,18685,18114,16113,35407
18091,27658,1419,899,1054,978,1014,1075,297,431,5981,4325,3029,7156
18095,32081,1809,1545,1131,1378,983,1051,459,574,6275,5533,4010,7333
18097,206317,12506,5788,7285,9786,8869,9919,5524,6091,33273,28555,24890,53831
18105,30220,1626,935,548,779,1460,923,494,1045,4717,4108,4092,9493
18109,19642,849,484,428,54,316,667,527,440,3118,4395,2274,6090
18127,43374,1766,718,968,1287,379,1182,528,952,6840,5760,5607,17387
18141,65770,2585,1850,1700,2238,2929,2197,1116,1232,11273,10537,8736,19377
18157,39265,1180,673,1241,1046,2337,1862,1017,1052,6924,5467,4655,11811
18163,43505,1535,1205,1596,2306,1591,2341,1156,709,6775,6312,5411,12568
18167,24852,1288,533,1092,1049,1021,1206,469,804,4055,4118,3279,5938
18177,18288,725,1292,278,598,1011,619,511,497,4626,2952,1259,3920
19013,32401,1448,1025,1111,876,1454,1239,410,960,4493,5581,3704,10100
19049,24120,157,667,337,517,184,505,175,52,2857,2966,3003,12700
19061,24381,472,475,693,525,1129,1086,145,555,3547,4247,3852,7655
19103,33567,1650,648,544,1742,283,740,151,710,2937,4046,4601,15515
19113,54685,1211,925,1080,984,1725,1223,510,1635,7370,8724,6866,22432
19153,119472,3022,2196,1939,3950,4180,3062,1436,2966,15612,17439,15031,48639
19155,23277,905,742,565,802,1067,1192,369,682,3139,4293,2806,6715
19163,41240,1731,1034,1146,856,785,1416,355,474,7365,6492,4508,15078
19169,19329,452,869,253,263,226,391,349,389,2727,2933,2733,7744
19193,26451,708,577,1271,1508,910,1255,714,245,4320,3689,3536,7718
20015,18338,433,428,256,512,438,1307,160,279,2743,4257,2197,5328
20045,26355,456,1195,524,427,267,820,346,478,4399,4109,3362,9972
