id,no_internet,has_internet
55055,2252,28493
55059,2806,55201
55063,2922,41063
55071,1850,29434
55073,3231,47223
55079,31452,304254
55087,3850,65252
55089,1638,32163
55097,1317,25247
55101,4522,66432
55105,3740,54575
55109,2132,29703
55117,1942,39939
55127,2719,34925
55131,2622,49243
55133,4285,145094
55139,3930,61445
55141,1921,26703
56021,1789,34595
56025,3352,27010
72013,2005,19159
72021,5974,50035
72025,2238,35615
72031,4969,45079
72061,2464,20638
72097,3333,21472
72113,3895,32173
72127,15162,76177
72135,10751,7358
72137,11748,11196
72139,1295,17815
